partner_name,address,description,program,course_name
Nabil Syahfiar,"Kaliwungu, Kendal, Jawa Tengah, 51372","ai, object oriented programming, oop, web programming, software engineering, operating system, os, network management design, mobile application programming, android, web mobile programming, image processing distributed database, computer graphic, social network, machine learning, ml, geographic information system, gis, text mining, web service, rest api, php, python, Laravel, programming algorithm, programming language, digital system, computer architecture, graph automata, database implementation, structured programming, database system, statistics, data structure, computer network, artificial intelligence",Kuliah,Mata Kuliah
PT Orbit Ventura Indonesia,"Veteran RI Building 15th Floor Unit Z15-002, Plaza Semanggi Jl.Jend.Sudirman Kav. 50, Jakarta Indonesia - 12930",3.AI Project Cycle 2.AI Research Methods 4.Python 1 programming.AI Technology Logic and Concept 6.Final Project 5.Professional Ethics & Company Skills,Studi Independen,AI 4 Jobs
PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan",1.AI Technology Logic and Concept 2.AI Project Cycle 3.Python 4 programming.AI Research Methods 6.Final Project 5.Entrepreneurship,Studi Independen,AI for StartUps
PT Nurul Fikri Cipta Inovasi,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat",Desain Web Version Control System (VCS): Git/Github Pemrograman JavaScript Framework Laravel Database MySQL Final Project REST API Pemrograman PHP UI/UX Soft Skill,Studi Independen,Akademi Fullstack Web Developer
PT Ruang Raya Indonesia,"Jl. Dr. Saharjo No.161, Manggarai Selatan, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860","Final Project Software Engineering: Implementing the software development process using the Visual Studio Code Code Editor, Terminal, version control, and basic networking.Basic Frontend Web Development With HTML & CSS: Understanding writing HTML and using CSS in basic Web Development Basic Backend Programming: Understanding and being able to write basic programming using Go (Golang).And understand basic data structures and algorithms including basic tests commonly used in Coding Interview Database Management & Technology: Understand and be able to create efficient database designs with Relational Databases and NoSQL Web Applications: Understand and be able to do programming with Go (Golang) to create programs efficient application by implementing REST API and implementing Clean Architecture as well as implementing basic design Pattern General Competencies: Additional learning that can support participants' ability to follow and implement digital marketing programs which include: 1) Communication and Presentations Skills 2) Analytical & Strategic Thinking Skills",Studi Independen,Backend Engineering
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),"Know the Introduction to the World of Programming Be able to do testing and deployment of Networking, API Documentation and Design Patterns Understand programming logic using Javascript Understand the use of authentication and media handling to support feature development on the web Understand basic programming using the Javascript programming language Data processing on the backend with the PostgreeSQL database Able create a rest API Collaborate with the application development team by iterating the testing and evaluation process through the Github repository Understanding the use of web sockets, in app notifications and mailers to support feature development on the web",Studi Independen,Backend Javascript
PT DWI INTI PUTRA,(Alamat Tidak Tersedia),Capstone Project Support Group Introduction to Python Group Mentoring Microsoft Office Specialist: Excel Associate Career Mentoring 1 on 1 Microsoft Office Specialist: Excel Expert Microsoft Power Platform Fundamental (PL-900) IT Specialist: Data Analytics IT Specialist: Databases,Studi Independen,Data Analyst
PT. INDOBIT DIGITAL RAYA,"Educenter building unit 22218 Kav Commercial International School II No 8 BSD City, Jalan Sekolah Foresta, BSD City, Tangerang, Banten 15331",Program Onboarding Data Collection Overview of Being Data Analyst & Opportunities in Industry Introduction to Data Analytics and Relational Database Concept Data Preparation for Visualisation Introduction to Python Programming for Data Analytics Career Preparation Essentials Project-based Learning Graduation Day SQL for Data Analytics Business Analysis and Problem Solving Exploratory Data Analysis with Python Data Dashboarding 101 and Create Valuable Insight Communicate Insights through Data Storytelling Mid Exam Soft skills for Young Professionals,Studi Independen,Data Analytics for Business
PT Mitra Integrasi Informatika,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Introduction to Programming Front-End Programming Back-End Programming Secure Programming Power Platform Fundamental,Studi Independen,Full Stack Developer
PT LENTERA BANGSA BENDERANG,(Alamat Tidak Tersedia),Perform unit testing and deployment Master the basic skills to create web pages Understand the basic logic of Javascript Be able to apply OOP and DOM in web development Design API architecture and documentation Create applications using ReactJS and implement OAuth in React and Express.Introduction - Understanding the Introduction to the World of Programming Able to run code and collaborate with other developers in the system development process Perform database design Collaborate with application development teams with iterative testing and evaluation processes through the Github repository,Studi Independen,Fullstack Web
PT Hacktivate Teknologi Indonesia,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7, RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Exploration of Various Applications of Functions.Understand about packages & tools in Go Programming.Understand and be able to implement Web Server/Service for API Go.Understand the main core of the GO programming language.Understanding the Go to Human Error Handling Approach - Readable Error.Understand about OOP Go Program with Struct Implementation.Understand how Go-Routines and Channels Work.Understand and be able to create Go middleware.Understand the Key Concepts of Microservices.Understand and be able to do API documentation with the GO library.Understand and be able to do testing with Testify,Studi Independen,Golang for Back End Programmer
PT Nodeflux Teknologi Indonesia,Jakarta Indonesia,MLOps and Continous Improvement on AI Systems AI Product Development Project - Practical Guidelines to Code Quality and Review Process - Product Knowledge and Value - Design Thinking Dasar Pengolahan Citra ( Image Processing) dan Visi Komputer (Computer Vision / CV) Dataset Operation (Insight and Visualization) Advance Deep Learning Methods and Optimization Model Analysis and Evaluation End to end machine learning pipeline deployment Dasar Kecerdasan Buatan (Artificial Intelligence / AI),Magang,AI Engineer
PT Pundi Mas Berjaya,"Jl. Kw. Industri Tunas 2 No.7D, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444","Analysis of a system Dynamic teamwork Creation of system flow, database and prototype Job analysis of required positions, system documentation Preparation of URS - User Requirement Specification ) Analysis of user needs",Magang,Analisis Sistem
PT GIT SOLUTION,(Alamat Tidak Tersedia),"Understanding of application design, use of APIs, local database, programming, and design patterns Class orientation (Brainstorming, Team Work, Introduction to Tools) Use of android studio Implementation of versioning control (Gitlab, Bit bucket, etc.) Java / kotlin programming (Client Server Applications) Introduction to Android Developers",Magang,Android Developer
PT Telkom Indonesia (Persero) Tbk,"Jl Japati 1, Bandung","Software Development Life-Cycle Data Management Component Integration Usability, vulnerability assessments and secure testing Architecture Design Application Design Value - Amanah	Value - Adaptif	Job Performance Value - Harmonis	Value - Loyal	Value - Kolaboratif	Value - Kompeten",Magang,Back-end Developer
PT TELEKOMUNIKASI SELULAR,"The Telkom Hub, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710","Data Mining Data and Statistical Analytic Softskill ""AKHLAK & ACTION"" Data Interpretation Data Storytelling and Visualisation",Magang,Data Analytics Intern
PT Widya Inovasi Indonesia,"Jl. Palagan Tentara Pelajar KM 7.5 No.31A, Mudal, Sariharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",Commit & push code UI implementation Collaboration between divisions Code test unit Code review,Magang,Front-End Developer
PT Bejana Investidata Globalindo,"Jl. Cipaku Indah III No. 14, Bandung, Jawa Barat, Indonesia, 40143",Implementation of REST API Implementation of communication with the API server Testing applications using black-box testing Dynamic teamwork Implementation of application interface displays using the React JS framework Creating API documentation,Magang,Full-Stack Developer
PT Investree Radhika Jaya Group,"AIA Central 21st Floor, Jalan Jendral Sudirman No.Kav. 48A, RT.5/RW.4, Karet Semanggi, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",Vue La Laravel Introduction Final Project & Presentation Final Project & Presentation REST Architecture REST Architecture Basic Front End Layouting Basic Front End Layouting Basic Fullstack Introduction Vue La Laravel Introduction Final Project & Presentation REST Architecture Basic Front End Layouting Basic CRUD Basic Front End Layouting Front End using VueJS Introduction Basic Fullstack Introduction Basic Front End Layouting Final Project & Presentation Basic Fullstack Introduction Basic Fullstack Introduction Basic CRUD Basic Front End Layouting Vue La Laravel Introduction Basic Fullstack Introduction Basic Fullstack Introduction Front End using VueJS Introduction REST Architecture Auto Migration Front End using VueJS Introduction Vue La Laravel Introduction Front End using VueJS Introduction Final Project & Presentation Basic CRUD REST Architecture Basic Front End Layouting Front End using VueJS Introduction Basic Front End Layouting Front End using VueJS Introduction Final Project & Presentation Vue La Laravel Introduction REST Architecture Vue La Laravel Introduction Auto Migration Front End using VueJS Introduction REST Architecture Final Project & Presentation Basic Fullstack Introduction REST Architecture Basic CRUD Front End using VueJS Introduction Final Project & Presentation Basic Fullstack Introduction Basic CRUD Basic CRUD REST Architecture Basic Fullstack Introduction Basic CRUD Vue La Laravel Introduction Vue La Laravel Introduction Basic Fullstack Introduction Auto Migration Basic Front End Layouting Auto Migration REST Architecture Vue La Laravel Introduction Front End using VueJS Introduction Auto Migration Basic Fullstack Introduction Basic CRUD Basic Fullstack Introduction Auto Migration Auto Migration Basic Front End Layouting Final Project & Presentation REST Architecture Basic CRUD Basic Fullstack Introduction Front End using VueJS Introduction Vue La Laravel Introduction Front End using VueJS Introduction Front End using VueJS Introduction Vue La Laravel Introduction Final Project & Presentation REST Architecture Basic Front End Layouting Auto Migration Final Project & Presentation Basic Front End Layouting Final Project & Presentation Vue La Laravel Introduction Front End using VueJS Introduction REST Architecture Basic CRUD Auto Migration Basic Fullstack Introduction REST Architecture Basic CRUD Vue La Laravel Introduction Front End using VueJS Introduction REST Architecture Auto Migration Vue La Laravel Introduction Auto Migration Auto Migration Basic CRUD Front End using VueJS Introduction Final Project & Presentation Final Project & Presentation Basic Fullstack Introduction Basic CRUD Basic Front End Layouting Auto Migration Auto Migration Basic Front End Layouting Vue La Laravel Introduction Basic Front End Layouting Auto Migration Final Project & Presentation Basic CRUD Basic CRUD,Magang,Fullstack Engineer
PT Generasi Anak Muda Berkarya,"Grand Slipi Tower, CHR Offce Unit O Lt 9, Jl. Letjend S Parman Kav 22-24, Jakarta Barat, 11480",Applying Design on Android Storing Data into Local Database Analyzing business processes of products Understanding Clean Code Architecture Integrating APIs,Magang,Mobile Android Development
UPT Solo Technopark,"Jl. Ki Hajar Dewantara No.19, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah, Indonesia 57126",Adaptability Creativity Leadership and Teamwork Communication and Collaboration Project Management and Time Management Problem Solving and Critical Thinking Work Ethics and Professionalism,Magang,Web Developer